CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment
12346.0,0,1,77183.6,5,1,5,Regular
12347.0,365,7,4310.0,1,5,5,At Risk
12348.0,283,4,1797.24,1,4,4,At Risk
12349.0,0,1,1757.55,5,1,4,Regular
12350.0,0,1,334.40000000000003,5,1,2,Regular
12352.0,260,8,2506.04,2,5,5,At Risk
12353.0,0,1,89.0,5,1,1,Regular
12354.0,0,1,1079.4,5,1,4,Regular
12355.0,0,1,459.40000000000003,5,1,2,Regular
12356.0,303,3,2811.43,1,3,5,At Risk
12357.0,0,1,6207.67,5,1,5,Regular
12358.0,149,2,1168.0600000000002,3,2,4,Regular
12359.0,274,4,6372.58,2,4,5,At Risk
12360.0,148,3,2662.06,3,3,5,Regular
12361.0,0,1,189.9,5,1,1,Regular
12362.0,292,10,5226.2300000000005,1,5,5,At Risk
12363.0,133,2,552.0,3,2,3,Regular
12364.0,105,4,1313.1,3,4,4,Regular
12365.0,0,2,641.38,5,2,3,Regular
12367.0,0,1,168.9,5,1,1,Regular
12370.0,309,4,3545.69,1,4,5,At Risk
12371.0,15,2,1887.96,4,2,4,Regular
12372.0,225,3,1298.04,2,3,4,At Risk
12373.0,0,1,364.6,5,1,2,Regular
12374.0,0,1,742.9300000000001,5,1,3,Regular
12375.0,88,2,457.5,3,2,2,Regular
12377.0,39,2,1628.1200000000001,3,2,4,Regular
12378.0,0,1,4008.62,5,1,5,Regular
12379.0,89,2,852.24,3,2,3,Regular
12380.0,164,4,2724.81,3,4,5,Regular
12381.0,115,5,1845.31,3,4,4,Regular
12383.0,168,5,1850.56,2,4,4,At Risk
12384.0,93,2,585.27,3,2,3,Regular
12386.0,29,2,401.90000000000003,4,2,2,Regular
12388.0,311,6,2780.6600000000003,1,4,5,At Risk
12390.0,0,1,549.84,5,1,3,Regular
12391.0,0,1,460.89,5,1,2,Regular
12393.0,260,4,1582.6000000000001,2,4,4,At Risk
12394.0,154,2,1272.48,3,2,4,Regular
12395.0,352,12,3018.63,1,5,5,At Risk
12397.0,100,2,2409.9,3,2,5,Regular
12398.0,0,1,1635.66,5,1,4,Regular
12399.0,142,4,1108.65,3,4,4,Regular
12401.0,0,1,84.3,5,1,1,Regular
12402.0,0,1,225.6,5,1,1,Regular
12403.0,0,1,427.7,5,1,2,Regular
12405.0,0,1,1710.39,5,1,4,Regular
12406.0,161,2,3415.3,3,2,5,Regular
12407.0,215,5,1708.12,2,4,4,At Risk
12408.0,228,5,2888.55,2,4,5,At Risk
12409.0,104,3,11072.67,3,3,5,Regular
12410.0,0,2,693.33,5,2,3,Regular
12412.0,95,3,1226.88,3,3,4,Regular
12413.0,271,3,758.1,2,3,3,At Risk
12414.0,93,3,562.41,3,3,3,Regular
12415.0,313,21,124914.53,1,5,5,At Risk
12417.0,354,9,3649.1,1,5,5,At Risk
12418.0,0,1,668.58,5,1,3,Regular
12420.0,0,1,600.39,5,1,3,Regular
12421.0,304,4,807.04,1,4,3,At Risk
12422.0,229,3,803.5600000000001,2,3,3,At Risk
12423.0,353,8,1859.31,1,5,4,At Risk
12424.0,0,2,1760.96,5,2,4,Regular
12425.0,0,1,777.2,5,1,3,Regular
12426.0,0,1,582.73,5,1,3,Regular
12427.0,350,3,825.8,1,3,3,At Risk
12428.0,258,9,7956.46,2,5,5,At Risk
12429.0,356,4,3750.4,1,4,5,At Risk
